Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6263527,10226167,855305.8125,238.378723144531,67.654914855957,1.11920580820879e-05,0.0183038059622049,0.0182926133275032,0.0358679406344891,74.105094909668,1.07338619232178,0.850251257419586,518.268188476562,3439.9560546875,672943.25,3724.908203125,593001.5,365.284820556641,207.232849121094,67.6628112792969,0.436017781496048,7167395.5,253.246627807617,685643.3125,-39.0517425537109,-0.937569797039032,-154.282699584961,0,0,0,-1003.90228271484,-36908.19921875,186356.171875,359992.5,-890320640,-890320640,186434976,-997316.5,58.3831939697266,1283491.25,20547734,5.81571912765503,4734.55419921875,-317.106781005859,-4633.1982421875,-876.985290527344,5.3138952255249,5.3138952255249,0,0.0104239759966731,-7.33091042093292e-07,2.70494297183177e-06,-1.55953562259674,0.0104272468015552,0.0104272468015552,-154.282699584961,-39.0517425537109,-0.937569797039032,7841041.5,693229.875,0.0219156742095947
6253995,10210604,709326.1875,238.759155273438,67.2600326538086,1.11885583464755e-05,0.0165863391011953,0.0165751520544291,0.0358284525573254,66.9130859375,1.06897556781769,0.850294411182404,518.268188476562,3423.1259765625,674444.3125,3731.79833984375,591987.375,365.904357910156,192.367034912109,67.3194427490234,0.399670898914337,7020233.5,251.655822753906,685161.1875,-37.4059104919434,-1.92150843143463,-141.165969848633,0,0,0,-607.196960449219,3509.55908203125,-17013.771484375,358407.5,-229340688,-229340688,14936271,872117,58.6111297607422,1275379.875,17072806,5.94507265090942,3689.87329101562,-225.345077514648,-3600.58203125,-711.060546875,239.246627807617,239.246627807617,0,0.00999989733099937,0.000490803620778024,9.80762561084703e-05,-1.52303564548492,0.0100120436400175,0.0100120436400175,-141.165969848633,-37.4059104919434,-1.92150843143463,7610486.5,691883.8125,0.0400126539170742
6271304,10238864,703863.5,238.909820556641,67.4078216552734,1.12012867248268e-05,0.0170772541314363,0.017066054046154,0.0358719155192375,68.9198913574219,1.06925237178802,0.850292205810547,518.268188476562,3424.26684570312,674604.6875,3731.40551757812,591989.125,366.097900390625,191.574264526367,67.4774475097656,0.397144764661789,7030612.5,251.703216552734,685214.625,-37.2292671203613,-3.45920753479004,-140.328796386719,0,0,0,-784.393371582031,3493.625,-17589.84765625,356878.25,65336320,65336320,-182055584,863627.625,58.4302711486816,1271825.625,16870350,5.93424940109253,3678.47631835938,-75.7456665039062,-3593.52856445312,-707.962158203125,239.355133056641,239.355133056641,0,0.00997528992593288,0.000980971264652908,0.000196121705812402,-1.47142255306244,0.0100241545587778,0.0100241545587778,-140.328796386719,-37.2292671203613,-3.45920753479004,7618797.5,691900.1875,0.0400015227496624
6282167,10256599,700150.875,239.005462646484,67.4997406005859,1.12092711788137e-05,0.0171483382582664,0.0171371288597584,0.0358991399407387,69.2204895019531,1.06941723823547,0.850292086601257,518.268188476562,3424.951171875,674709.125,3731.17358398438,591989.9375,366.220794677734,191.104888916016,67.5727920532227,0.395579278469086,7037055.5,251.73713684082,685249.0625,-37.1058769226074,-3.94795942306519,-139.812408447266,0,0,0,-958.862976074219,3531.43872070312,-17777.4140625,356338.96875,151091808,151091808,-198061152,853792.375,58.3532066345215,1269990.875,16763506,5.93001794815063,3669.63305664062,90.2725448608398,-3583.7744140625,-705.62109375,239.425659179688,239.425659179688,0,0.00992651749402285,0.001469322363846,0.000293986406177282,-1.41887640953064,0.0100362719967961,0.0100362719967961,-139.812408447266,-37.1058769226074,-3.94795942306519,7624424,691916.3125,0.0399847105145454
6290358.5,10269973,697620.9375,239.07585144043,67.5703048706055,1.12152783913189e-05,0.0171763710677624,0.0171651560813189,0.0359197407960892,69.345588684082,1.06955933570862,0.850292265415192,518.268188476562,3425.53540039062,674781.75,3730.97192382812,591990.1875,366.310516357422,190.812911987305,67.6446838378906,0.394523143768311,7042360.5,251.768997192383,685273.0625,-37.0061264038086,-4.14819192886353,-139.471527099609,0,0,0,-1051.08239746094,3703.25048828125,-17845.390625,355891.4375,176104800,176104800,-155858720,847691.4375,58.2885856628418,1267565,16649593,5.92702913284302,3664.55859375,261.160858154297,-3570.29809570312,-703.722839355469,239.483169555664,239.483169555664,0,0.00985394325107336,0.00195468380115926,0.000391742767533287,-1.36444807052612,0.0100488662719727,0.0100488662719727,-139.471527099609,-37.0061264038086,-4.14819192886353,7629661.5,691931.875,0.039977952837944
6296815,10280514,695865.25,239.129974365234,67.6268844604492,1.12200023067999e-05,0.0171920172870159,0.0171807967126369,0.0359360314905643,69.4187545776367,1.0696849822998,0.850292444229126,518.268188476562,3426.04833984375,674834.1875,3730.7919921875,591990.5625,366.378936767578,190.625091552734,67.7012939453125,0.393784910440445,7046839.5,251.797958374023,685290.6875,-36.9235382080078,-4.2771954536438,-139.23762512207,0,0,0,-1031.96740722656,3999.20874023438,-17863.34375,355545.84375,177706688,177706688,-181983264,845433.3125,58.2341232299805,1266804.625,16620837,5.92455101013184,3660.4970703125,432.132659912109,-3549.75244140625,-702.018432617188,239.535049438477,239.535049438477,0,0.00975790712982416,0.00243593263439834,0.000489365367684513,-1.3140869140625,0.0100607257336378,0.0100607257336378,-139.23762512207,-36.9235382080078,-4.2771954536438,7634398.5,691946.125,0.0399778448045254
6302749,10290203,694353.6875,239.179122924805,67.6793060302734,1.12243396870326e-05,0.0172046888619661,0.0171934645622969,0.0359510220587254,69.479621887207,1.0698059797287,0.85029262304306,518.268188476562,3426.54125976562,674880.3125,3730.61791992188,591990.9375,366.440856933594,190.468643188477,67.753547668457,0.393140733242035,7051076,251.826065063477,685306.375,-36.8481712341309,-4.40066909790039,-139.034530639648,0,0,0,-1232.05700683594,3928.75952148438,-17822.34765625,355296.125,187356528,187356528,-189293200,842247.375,58.1816139221191,1265625,16575436,5.92218971252441,3655.46533203125,601.357727050781,-3520.1708984375,-700.220520019531,239.583572387695,239.583572387695,0,0.00963879749178886,0.00291199260391295,0.00058685295516625,-1.26540076732635,0.0100725078955293,0.0100725078955293,-139.034530639648,-36.8481712341309,-4.40066909790039,7638993.5,691959.8125,0.0399785675108433
6308501,10299593,692963.0625,239.226348876953,67.7303466796875,1.12285388240707e-05,0.0172173995524645,0.0172061696648598,0.0359655618667603,69.5406112670898,1.06992661952972,0.850292861461639,518.268188476562,3427.03100585938,674923.6875,3730.44409179688,591991.4375,366.500305175781,190.32698059082,67.804443359375,0.39253556728363,7055253,251.854187011719,685321.25,-36.7767791748047,-4.52194404602051,-138.844100952148,0,0,0,-1432.09851074219,3857.3037109375,-17814.82421875,355071.84375,182200320,182200320,-177353536,838911.75,58.1265830993652,1265411.75,16565877,5.91972684860229,3651.09716796875,768.244506835938,-3483.33325195312,-698.471740722656,239.630249023438,239.630249023438,0,0.00949697755277157,0.00338180013932288,0.000684214639477432,-1.21677434444427,0.0100846514105797,0.0100846514105797,-138.844100952148,-36.7767791748047,-4.52194404602051,7643590.5,691973.5625,0.0399792157113552
6314092.5,10308722,691683.125,239.271835327148,67.7801971435547,1.12326179078082e-05,0.0172308832406998,0.0172196496278048,0.0359797030687332,69.6046676635742,1.07004678249359,0.850293040275574,518.268188476562,3427.51831054688,674964.5625,3730.27001953125,591992,366.557556152344,190.198257446289,67.8541870117188,0.39196389913559,7059374,251.882308959961,685335.4375,-36.7096977233887,-4.62965631484985,-138.664779663086,0,0,0,-1608.89135742188,3780.94482421875,-17812.427734375,354880.59375,185330176,185330176,-168113504,835593.8125,58.0719108581543,1264712,16535755,5.917236328125,3648.29931640625,933.313781738281,-3440.10620117188,-696.971557617188,239.675430297852,239.675430297852,0,0.00933280773460865,0.0038443033117801,0.000781459209974855,-1.16820919513702,0.0100971590727568,0.0100971590727568,-138.664779663086,-36.7096977233887,-4.62965631484985,7648186.5,691987.3125,0.0399798192083836
6319593,10317703,690476,239.316299438477,67.8293762207031,1.12366269604536e-05,0.017245402559638,0.0172341670840979,0.035993617027998,69.6728973388672,1.07016682624817,0.850293159484863,518.268188476562,3428.0048828125,675003.875,3730.09545898438,591992.6875,366.613525390625,190.077484130859,67.9033432006836,0.391411334276199,7063463,251.910446166992,685349.25,-36.6461219787598,-4.70802354812622,-138.492370605469,0,0,0,-1839.90563964844,3692.82885742188,-17879.638671875,354638.65625,187111680,187111680,-155738496,833772.8125,58.0115928649902,1263267.25,16463640,5.91455888748169,3648.2861328125,1097.15246582031,-3391.5341796875,-696.110595703125,239.719787597656,239.719787597656,0,0.00914664939045906,0.00429844530299306,0.000878594757523388,-1.11970663070679,0.0101099787279963,0.0101099787279963,-138.492370605469,-36.6461219787598,-4.70802354812622,7652784.5,692001,0.0399801917374134
